19,Colby,"O'Brien, Finn",2,0,68,0,0,1,0,0,0
2,Colby,"Moretti, Alex",5,2,147,0,0,0,0,0,0
20,Colby,"Wood, Jared",15,6,711,0,1,4,1,2,0
21,Colby,"Rubin, Josh",17,6,836,9,2,24,16,0,0
22,Colby,"Franco, Ethan",17,15,1017,8,2,45,19,1,0
23,Colby,"Assadourian, Nicholas",9,5,530,0,0,0,0,0,0
24,Colby,"Nickpour-Reyes, Mateen",1,0,0,0,0,0,0,0,0
25,Colby,"Simoes, Mario",14,1,433,4,0,16,10,1,0
26,Colby,"O'Brien, Aidan",17,14,1157,0,0,9,1,1,0
27,Colby,"Garrison, Jered",13,8,767,0,1,4,1,0,1
28,Colby,"Lauer, Justin",16,7,606,1,3,16,7,0,0
29,Colby,"Jacobs, Max",13,3,461,0,0,2,1,1,0
3,Colby,"Franklin, Jayde",15,11,974,0,0,1,0,1,0
31,Colby,"Lunder, Sam",2,0,11,0,0,0,0,0,0
33,Colby,"McNair, Jared",6,4,421,0,0,0,0,0,0
4,Colby,"Seaman, Ryan",14,8,793,0,0,2,0,1,0
5,Colby,"Traore, Aboubacar",15,13,1224,0,0,3,3,5,0
6,Colby,"Donahue, Jack",10,0,270,0,0,0,0,0,0
7,Colby,"Wilson, Sam",8,1,235,0,1,8,3,0,0
8,Colby,"Sullivan, Colin",17,6,991,0,2,8,4,0,0
9,Colby,"Fabricant, Ethan",17,14,880,2,1,25,15,3,0
7,Trinity,"Matule, Alistair",10,7,546,3,0,15,11,2,0
17,Trinity,"Traynor, Michael",15,10,966,2,2,13,10,3,0
20,Trinity,"Sarieh, Rasheed",12,7,740,2,0,18,6,0,0
30,Trinity,"Loor, Jacob",9,2,281,1,1,3,3,0,0
9,Trinity,"Peterson, Logan",14,13,821,1,1,19,11,0,0
11,Trinity,"Ackman, Quinn",14,12,1008,1,0,7,3,1,0
16,Trinity,"McDermott, Owen",14,6,525,0,2,4,1,0,0
2,Trinity,"Moran, Matthew",15,15,1337,1,0,4,2,3,0
10,Trinity,"Morency, Josh",4,3,175,1,0,7,4,0,0
23,Trinity,"Bronson, Peter",11,8,497,0,1,6,2,1,0
8,Trinity,"Guglielmo, Alexander",8,0,322,0,1,5,2,0,0
15,Trinity,"Kaldor, Charles",15,14,1157,0,1,12,9,2,0
13,Trinity,"Bellak, Nicholas",10,8,514,0,0,5,2,1,0
0,Trinity,"Birnhak, Matt",1,0,0,0,0,0,0,0,0
21,Trinity,"Castro, Luke de faria e",5,0,148,0,0,2,1,0,0
19,Trinity,"Dahlen, Oliver",12,2,362,0,0,5,1,0,0
26,Trinity,"Djohan, Evans",6,0,67,0,0,0,0,0,0
6,Trinity,"Donaldson, James",15,15,1151,0,0,10,5,2,0
12,Trinity,"Eckert, Connor",5,2,103,0,0,0,0,0,0
66,Trinity,"Gadun, Anes",1,0,12,0,0,0,0,0,0
22,Trinity,"Lyons, Everett",9,2,398,0,0,1,1,1,0
4,Trinity,"Merlin, Dante",14,13,1129,0,0,5,4,1,0
80,Trinity,"Michielli, James",3,0,86,0,0,0,0,0,0
18,Trinity,"Morton, Brenner",11,4,592,0,0,0,0,1,0
29,Trinity,"O'Hagan, Wheat",5,1,196,0,0,2,1,0,0
5,Trinity,"O'Malley, Pierce",7,2,143,0,0,1,0,1,0
25,Trinity,"Seaman, Zachary",6,0,124,0,0,0,0,0,0
1,Trinity,"Simoes, Bernardo",14,12,1145,0,0,0,0,0,0
3,Trinity,"Velez-Perez, Eduardo",13,3,441,0,0,1,0,0,0
16,Hamilton,"Hawthorn, Charles",12,4,594,3,2,15,11,0,0
7,Hamilton,"Royal, Spencer",8,5,438,4,0,16,12,1,0
27,Hamilton,"Peplowski, Luke",13,7,755,1,5,19,9,0,0
22,Hamilton,"Kantrowitz, Thomas",15,15,1313,3,0,16,9,3,0
17,Hamilton,"Margaronis, Pandelis",15,9,990,1,3,19,6,4,0
13,Hamilton,"Hoke, Simon",14,1,459,1,2,4,2,0,0
11,Hamilton,"Webber, Sam",15,14,707,1,1,19,5,0,0
9,Hamilton,"Dils, Sam",15,14,763,1,0,15,9,2,0
30,Hamilton,"O'Dowd, Luke",13,8,778,1,0,7,4,0,0
3,Hamilton,"Vogt, Jackson",10,6,625,1,0,1,1,0,0
10,Hamilton,"Wetzel, Roth",14,12,779,1,0,16,3,2,0
28,Hamilton,"Zimmerman, Greg",9,3,376,1,0,10,6,0,0
12,Hamilton,"D'Alessandro, Justin",14,7,663,0,1,4,2,1,0
21,Hamilton,"Ehrenfreund, Luke",15,5,743,0,1,18,8,1,0
24,Hamilton,"Ghosh, Sebastian",15,13,1166,0,1,1,1,3,0
19,Hamilton,"Jacobs, Julian",6,0,152,0,1,4,3,0,0
18,Hamilton,"Andrews, Jameson",4,0,94,0,0,0,0,0,0
37,Hamilton,"Benson, Thomas",5,4,345,0,0,0,0,0,0
20,Hamilton,"Brown, Quinn",3,0,17,0,0,0,0,0,0
4,Hamilton,"Bulkeley, Gardner",3,1,69,0,0,0,0,0,0
0,Hamilton,"Dorsey, Liam",1,0,24,0,0,0,0,0,0
2,Hamilton,"Gegwich, Nate",6,2,294,0,0,2,1,0,0
25,Hamilton,"Goldberg, Spencer",1,0,8,0,0,0,0,0,0
40,Hamilton,"Haesslein, Kai",3,0,64,0,0,0,0,0,0
8,Hamilton,"Jordan, Matt",15,15,1331,0,0,2,0,2,0
23,Hamilton,"LaBranche, Ben",2,0,36,0,0,0,0,0,0
15,Hamilton,"Michelson, Teghan",1,0,6,0,0,1,0,0,0
26,Hamilton,"Rouhana, Jude",11,7,543,0,0,13,3,0,0
14,Hamilton,"Schermer, Marc",1,0,14,0,0,0,0,0,0
6,Hamilton,"Travers, Ravi",5,2,199,0,0,1,0,0,0
1,Hamilton,"Ziegler, Ben",11,11,942,0,0,0,0,0,0
7,Williams,"Song, Nathan",16,16,923,7,1,34,17,0,0
16,Williams,"Brissett, Keel",15,7,724,3,1,17,8,1,0
19,Williams,"Osborn, Henry",16,15,1068,0,5,9,6,0,0
22,Williams,"Saudek, Jake",14,0,465,2,1,6,3,1,0
29,Williams,"Zhang, Daniel",14,10,875,2,1,7,5,1,0
13,Williams,"Felitto, Will",14,13,1142,2,0,9,6,2,0
3,Williams,"Foehl, Brady",13,4,579,2,0,18,13,0,0
27,Williams,"Kelemen, Dylan",13,0,444,1,2,11,7,0,0
28,Williams,"Michelson, Tate",15,1,419,1,1,5,3,2,0
9,Williams,"Petrik, Eli",14,8,437,1,1,8,4,0,0
23,Williams,"Rayhill, Dan",9,5,481,1,1,10,3,0,0
6,Williams,"Boardman, Nick",16,15,1315,0,2,20,13,1,0
11,Williams,"Gara Grady, Eamon",13,12,1031,1,0,4,2,0,0
14,Williams,"Adams, Justin",11,1,330,0,1,0,0,3,0
26,Williams,"Gutierrez, Felipe",16,16,995,0,1,11,6,1,0
18,Williams,"Holland, Jamie",16,16,1189,0,1,6,3,0,0
4,Williams,"Ranieri, Nicholas",12,2,505,0,1,3,1,0,0
24,Williams,"Swann, Luke",10,0,382,0,1,1,0,0,0
